date,type,actor,affiliation,state_or_district,event,detail,race_link,significance,source_url
2026-07-31,산업,KEI(한미경제연구소)/삼성중공업,싱크탱크/기업,,KEI Q2 2026 한미 무역·투자 대장(Ledger) 발간(7/30)— 삼성중공업 루이지애나 $29억 FLNG 미국 첫 수주 등 에너지·AI·방산 투자 확산 정리,새 관세 프레임워크 하 한국 투자의 전략 부문(에너지·AI·방산) 확산 패턴 정리— 삼성중공업 컨소시엄 루이지애나 연안 $29억 부유식 LNG(FLNG) 프로젝트 수주(미국 내 최초 사례); AI 데이터센터 전력망·SMR 협력이 후속 파트너십 틀 전망; $250B/$350B 투자 약정 분기 이행 실적 축적— '1호 투자 프로젝트' 8월 말 발표(DB 7/24) 전 배경 지표,,1,https://keia.org/analysis/q2-2026-u-s-south-korea-trade-and-investment-ledger/
2026-08-01,북한,한국은행(BOK),한국 정부,,한은— 북한 2025년 실질 GDP +3.5%(7/31 발표)— 3년 연속 3%대 성장; 러 무기거래·중국 무역이 견인,2024년 +3.7%에서 소폭 둔화하나 2017년 제재 강화 이후 최강 성장 국면 3년째; 실질 GDP 2017년 수준 첫 회복; 남북교역 제외 무역액 16% 증가 $31.3억; 수출 30% 증가 $4.7억(가발·조제 우모·완구류); 러시아 관광객 급증— 숙박·요식·운송 부양; 대중 무역 반등(DB 7/29)·선박 추가 지정 신청(DB 7/29)에 이어 '제재 실효성 약화' 서사를 공식 통계로 뒷받침— 의회 강경파(집행 강화)·회의론(제재 한계) 양측 논거,,2,https://www.koreatimes.co.kr/amp/foreignaffairs/northkorea/20260731/n-korean-economy-grows-over-3-for-3rd-consecutive-year-in-2025-bok
2026-08-01,인사,세라 로저스(USAGM 국장 지명자),행정부,,USAGM 국장 지명자 세라 로저스 상원 외교위 인준청문회(7/30)— 대북 라디오 방송의 탈북민 영향 부각,모두발언— 'In Seoul; North Korean defectors told me that snippets of American radio were the first hints they heard of another kind of life(서울에서 만난 탈북민들은 미국 라디오의 단편들이 다른 종류의 삶이 있다는 첫 신호였다고 말했다)'; 'These defectors risked torture and risked death(고문과 죽음을 무릅쓰고 탈출했다)'; 현 국무부 공공외교 차관— VOA·RFA 관할 USAGM 수장 인준 시 대북 정보 유입(방송) 유지·강화 신호— 감축 논란 겪은 대북 방송 정책 방향 지표,,2,https://www.nknews.org/2026/07/radio-broadcasts-to-north-korea-important-for-would-be-defectors-us-official/
2026-08-02,북한,볼로디미르 젤렌스키(우크라이나 대통령)/러시아군·북한,우크라이나/러시아·북한,,러시아— 크리비리흐 인근 마을 야간 공격에 북한 KN-23/24 미사일 사용(7/29-30)— 약 1년 만의 대우크라이나 북한 미사일 재사용; 일가족 5명 사망,젤렌스키 7/30 발표— 러시아 야간 공격에 북한 미사일 사용·일가족 5명 사망; 우크라이나 레이더가 KN-23/KN-24와 일치하는 비행경로 2개 탐지— 개전 이래 약 1년 만; 로이터— 장기 공백 후 재등장은 러시아가 꺼내 쓸 새 재고(fresh stockpile)의 방증; 3만 파병 준비(DB 7/27)·대러 SRBM 공장 가동 연장선— 북러 무기 이전 재개 물증으로 의회 강경파 제재 집행 강화론·한국 관련 NDAA 논쟁 논거 강화,,2,https://www.nknews.org/2026/07/russia-used-north-korean-missile-in-ukraine-for-first-time-since-2025-kyiv/
2026-08-03,통상,트럼프·이재명,미·한 정부,,트럼프-이재명 정상회담 8/25 워싱턴 개최 보도(전국 브리핑 8/3 [K])— 15%→25% 관세 인상 위협·방위비 분담 의제— 검증 필요,전국 일일 브리핑 8/3 [K] 항목 이관— 8/25 워싱턴 정상회담 보도; 의제— KORUS 이행법안 국회 비준 지연에 따른 15%→25% 관세 인상 위협(1월 트럼프 발표 연장선)·방위비 분담(GDP 3.8% 요구설); 단 브리핑 인용 CFR 기사는 2025-08-21자(2025년 8/25 1차 정상회담 대상)로 확인— 2026년 회담 일정 독립 확인 실패(8/3 검색); 링크 오기 vs 기사 오독 병존— 미확인(significance 1) 등재; 후속 확인 시 상향,,1,https://www.cfr.org/articles/united-states-south-korea-allies-and-trade-partners-summit-lee-trump
2026-08-04,북한,유엔 안전보장이사회/1718위원회,국제기구,,안보리— 8월 중 1718 DPRK 제재위 90일 보고서 비공개 협의 예정(SCR 8월 전망; 8/3 게재)— 제재위 의장 미임명·덴마크(8월 의장국) 대리 브리핑 가능성,Security Council Report 8월 전망(8/3)— 1718위원회 90일 보고서 비공개 협의 예정; 보조기구 배분 미합의로 위원회 의장 미임명— 관례상 의장국 덴마크 대리 브리핑 전망; 미국 신청 선박 7척 추가 지정(DB 7/29) 계류 국면서 위원회 기능 정체 공식 확인; PoE 부재·MSMT 권위 논쟁 지속— 미 의회 강경파의 독자 제재 집행 강화·MSMT 보강론 논거,,1,https://www.securitycouncilreport.org/monthly-forecast/2026-08/dprk-north-korea-35.php
2026-08-05,인사,미셸 스틸(주한대사),미 행정부,,스틸 주한대사 신임장 사본 제출·조현 외교장관 예방(8/4)— 공식 업무 개시·18개월 공석 절차적 종결,외교부 의전장에 신임장 사본 제출 후 조 장관 예방— 관례상 사본 제출로 공식 업무 개시(정식 제정식은 이후); 박두순 대변인 'draw on her understanding of the South Korea-U.S. alliance(한미동맹 이해 바탕 관계 강화 기대)'; 취재진 질문 무응답; 당면 의제— 쿠팡 분쟁·대미 투자 약정·핵추진잠수함; 부임 시리즈(DB 7/25·7/28·7/30·7/31) 완결,,1,https://www.upi.com/Top_News/World-News/2026/08/04/korea-US-Ambassador-Steel-meets-Korea-FM-Cho-credentials/8901785829992/
2026-08-05,안보,한국 국방부/AEI-ISW,한국 정부/싱크탱크,,국방부— SSN(장보고-N) 비확산 공약 법제화 법안 9월 초 발의 방침(7/29 발표; AEI-ISW 8/4 업데이트 조명)— 미 의회 심사 관문·쿠팡 변수 지적,법안— 'would not seek to develop; manufacture; possess; or use nuclear weapons(핵무기 개발·제조·보유·사용 안 함)' 기본 원칙 명시(중앙일보); IAEA·NPT 검증 기준 준수; 타당성조사·시험평가 생략 등 획득 가속; 2026년 1월 마키 서한 등 미 의원 핵 잠재력(latency) 우려 대응 해석; 원자력법 개정·신규 협정은 미 의회 심사 대상— 쿠팡 차별 논쟁이 의회 지지 저해 가능 경고; 호르무즈 자산 검토(7/29)·하산-두만강 교량 9월 개통 전망 병기,,2,https://www.aei.org/commentary/korean-peninsula-update-august-4-2026/
2026-08-06,북한,우크라이나 정보당국/러시아·북한,우크라이나/러시아·북한,,북한 미사일 부대 러시아 서부 보로네시 배치— 탄도미사일 최대 120발·발사대 6기 반입 전망(키이우 발표; 로이터 단독 8/5),약 90명 규모 미사일 부대 인력 보로네시주 제112미사일여단 편입 예정; KN-23/24 계열 최대 120발·발사대 6기 러시아 재고 추가 전망; 8/5 새벽 키이우 미사일·드론 복합 공격 최소 16명 사망(1주 새 세 번째 대규모 공습)과 병행; FPRI 롭 리— 탄도미사일 방어가 우크라이나 최대 취약점; 3만 파병 준비(DB 7/27)·KN-23 재사용(DB 8/2) 연장선— 북러 무기이전 확대 물증으로 의회 강경파 제재 집행 강화·NDAA 한국 조항 논쟁 논거,,2,https://www.reuters.com/business/aerospace-defense/north-korean-missile-unit-deploys-russia-ukraine-war-kyiv-says-2026-08-05/
2026-08-06,북한,김여정(노동당 중앙위 부부장),북한,,김여정— 일본 토마호크 시험발사에 '추가적 군사적 옵션(additional military options)' 경고 담화(8/5 KCNA),일본 해자대 이지스구축함 초카이의 태평양 토마호크 시험발사 지목— 미국이 토마호크 공급·함정 개조·시험 지원으로 일본 군비증강 조장 비난; 일본 장거리 타격능력 확보로 북한 등 주변국 사정권 주장— 'will set up additional military options(추가적 군사적 옵션을 마련할 것)' 경고(구체 내용 없음); 7월 이후 한미일 안보협력 비난 논평 최소 6건째; ARF 담화(DB 7/28) 후속— 한미일 협력·일본 역할 확대 반발 지속,,2,https://www.nbcnews.com/world/asia/north-korea-kim-yo-jong-warns-new-military-options-japan-rcna590916
2026-08-07,북한,북한군/미 인도태평양사령부,북한/미군,,북한 원산서 단거리탄도미사일 발사(8/6 오후 5시경 KST)— 한미 연례연합훈련 앞 무력시위; INDOPACOM '즉각 위협 아님',원산 일대서 동해상 SRBM 최소 1발(8/6 오후 5시경 탐지); 한미 연례연합훈련 개시 수일 전·김여정 일본 토마호크 경고 담화(DB 8/6) 다음날; INDOPACOM— 'does not pose an immediate threat(즉각적 위협 아님)'·동맹 방위 공약 재확인·'consulting closely(긴밀 협의)'; 한국 NSC '안보리 결의 위반 도발' 규정; 일본 고이즈미 방위상 베이징 대사관 경로 항의; 히로시마 원폭 기념일 당일 발사(재팬타임스); 러 배치 물증(DB 8/6)과 함께 의회 강경파 논거— 스틸 대사 업무 개시·SSN 법안 국면서 도발 사이클 재가동,,2,https://www.foxnews.com/world/us-north-korea-missile-launch-poses-no-immediate-threat-consulting-closely-allies
2026-08-07,선거연계,영 김(Young Kim; R-CA-40),미 의회(공화),CA-40,영 김 동아태소위원장— 초당파 CODEL 한국·일본·대만 순방(8/2 발표)— JSA·주한미군 지도부 면담·쿠팡 방문,수브라마니얀(D-VA-10)·핀스트라(R-IA-04)·클라우드(R-TX-27) 동행; 한국 일정— DMZ JSA 시찰·USFK 지도부·정부 당국자·국회의원 면담; 쿠팡 방문— 미국 기업 'discriminatory regulatory treatment(차별적 규제 대우)' 우려 제기(하원 법사위 보고서 연장선); 조선·반도체 업계와 $350B 투자 파트너십 이행 논의; 한국계 현역(공화)의 안보·통상 행보— RIMPAC 참관(DB 7/27) 후속,CA-40,2,https://youngkim.house.gov/2026/08/02/east-asia-and-pacific-chair-young-kim-leads-delegation-to-south-korea-japan-and-taiwan-to-reaffirm-americas-indo-pacific-alliances/
2026-08-08,통상,짐 조던(하원 법사위원장)·이사·피츠제럴드·바움가트너,미 의회(공화),,하원 법사위 공화 4인— 한국 '가짜뉴스법'(정보통신망법 개정) 관련 KMCC 위원장에 서한(8/6)— '표현의 자유 중대 위협'·8/20까지 브리핑 요구,김종철 방송미디어통신위원회(KMCC) 위원장 수신 서한(8/6)— 작년 12월 국회 통과·지난달 발효 정보통신망법 개정 지목; 법원의 '허위조작정보' 최대 5배 손해배상 판정·KMCC 최대 10억원(약 $65.6만) 과징금 권한 문제 제기; 'a major threat to online speech and expression(온라인 언론·표현에 대한 중대 위협)'·'specifically aimed at American companies(미국 기업을 특정 겨냥)'— 유튜브·페이스북·X·인스타그램 거명; 8/20까지 한국 정부 브리핑 요구; 모스 탄 전 국제형사사법대사 동법 기소·출국금지(첫 공판 9/11) 배경; 쿠팡 보고서(DB 7/4)·영 김 쿠팡 방문(DB 8/7) 잇는 법사위발 규제 전선 확대— 관세·통상 긴장 국면 가중,,2,https://www.cnbc.com/2026/08/06/jim-jordan-south-korea-fake-news-law.html
2026-08-08,북한,조현(외교장관)·정동영(통일장관),한국 정부,,조현-정동영 대북정책 공개 충돌(8/7 보도)— 조 장관이 정 장관 관여 구상을 '이상주의적' 비판— 이재명 정부 대북 접촉 재개 모색 속 균열 노출,조현 외교장관이 정동영 통일장관의 관여(engagement) 구상을 'idealistic(이상주의적)'이라고 공개 비판(로이터/US News 8/7)— 이재명 정부의 평양 접촉 재개 모색 국면; 원산 SRBM 발사(DB 8/7) 다음날 서울 대북 라인 혼선 노출— 워싱턴 조율 복잡화·관여 회의적 의회 강경파 논거,,1,https://www.usnews.com/news/world/articles/2026-08-07/south-korea-ministers-clash-publicly-over-north-korea-policy-as-lee-pushes-engagement
2026-08-09,인사,위성락(국가안보실장)·미셸 스틸(주한대사),한국 정부/미 행정부,,위성락 안보실장-스틸 주한대사 첫 회동(8/7 대통령실 발표)— 부임 예방— 스틸 대사 서울 채널 본격 가동,대통령실— 위 실장이 스틸 대사 부임 환영·한미관계 강화 방안 의견 교환(8/7 금요일 발표); 예방 성격이나 계류 현안 산적— SSN(핵추진잠수함) 협상·한미 원자력협정(123협정) 개정 가능성·쿠팡 분쟁·대미 투자; 신임장 사본 제출(DB 8/5)→안보실장 회동으로 부임 시리즈 연장— SSN 법안(9월 발의 방침)·UFS 훈련·10월 SCM 앞두고 동맹 협의 라인 완비,,1,https://www.upi.com/Top_News/World-News/2026/08/07/skorea/2651786145839/
2026-08-09,안보,한미 군 당국/국방부,한미 정부,,한미— UFS 훈련(8/17-27)으로 미래 연합사 FOC 평가 사실상 완료 방침— 10월 워싱턴 SCM서 전작권 전환 목표연도 공식 설정 가속(8/6 보도),국방부— 을지 자유의 방패(UFS; 8/17-27)를 통해 미래 연합사령부 완전운용능력(FOC) 평가 완료 계획; 10월 SCM(워싱턴)서 OPCON 전환 목표연도 공식화 추진; 이재명 정부 2030년 전환 완료 제안·2026 미 NDS는 한국의 대북 억제 'primary responsibility(주된 책임)' 주문; NDAA 주한미군 감축 제한 조항(하원 FY27 통과) 논쟁과 교차— SCM 목표연도 발표 시 사이클 최대 동맹 재편 신호,,2,https://www.upi.com/Top_News/World-News/2026/08/06/skorea/2301786050750/
2026-08-11,안보,한미 군 당국/합동참모본부,한미 정부,,한미 UFS(을지 자유의 방패) 연합훈련 공식 발표(8/10)— 8/17-27; 드론·GPS교란·사이버 위협 대응 신규 반영— 북 SRBM 재개 수일 만,한국군 약 1만8천명 참가; 컴퓨터 시뮬레이션 CPX·야외기동훈련·정부 을지 비상대비훈련 병행; 대대급 이상 FTX 14회(2025년 대대·중대급 39회 대비 축소— 이재명 정부 긴장완화 기조 해석); 원산 SRBM(DB 8/7) 수일 만 발표— 북한 통상 연합훈련을 'rehearsals for an invasion(침공 리허설)'로 비난·무력시위 대응 전례; UFS로 미래연합사 FOC 평가 완료·10월 워싱턴 SCM서 전작권 전환 목표연도 공식화 방침(DB 8/9)의 실행 국면,,2,https://www.koreatimes.co.kr/southkorea/defense/20260810/s-korea-us-to-hold-ufs-exercise-from-aug-17
2026-08-12,법안표결,백악관 OMB/미 의회,행정부/의회,,백악관 OMB— FY27 NDAA 정책성명(SAP; 7/21)으로 해군 함정 4척(전투함 2·지원함 2) 해외 조선소 건조 승인 의회 압박— 한국 조선소 활용 검토(AEI 8/11 조명),OMB SAP(H.R.8800; 7/21 제출)— 수상전투함 2척·비전투 지원함 2척 해외 건조 승인 요구; 'driving significant and direct foreign investment into domestic shipyards(국내 조선소 직접투자 유도)' 명분; 뉴시스·USNI— 의회 승인 시 한국·일본 조선소·설계 검토; 하원 NDAA 해외 건조 금지 조항(DB 7/24)·SASC §8679 특례 폐지 초안(DB 7/20)과 정면 충돌; HD현대·한화오션(구축함·군수지원함)·삼성중공업 등(급유함) RFI 기발송; 9월 상하원 조정회의가 결정 무대; 코리아타임스 8/5 보도— AEI 8/11 업데이트 조명 계기 등재,PA 상원(McCormick 서사),2,https://www.aei.org/commentary/korean-peninsula-update-august-11-2026/
2026-08-13,안보,주한 미 해병대(3해병사단)/미 육군,미군,,주한 미 해병대— 한국 내 첫 FPV 자폭드론 실사격 훈련(7/30·8/5 포천 로드리게스 사격장; 8/6 발표)— UFS(8/17-27) 직전 우크라이나형 전훈 이식,4해병연대(3해병사단)— 2회 실시— 7/30 3경장갑수색대대 첫 사격·8/5 7해병연대 3대대; Neros Archer FPV(유효사거리 약 20km)로 약 900m 모의 막사에 6발 전탄 명중; 미 육군도 동반 시험(밀리터리타임스 8/10); UFS 드론·GPS교란·사이버 신규 반영(DB 8/11) 기조 부합— 우크라이나 전훈의 소부대 정밀타격이 주한미군에 실전 배치; 2026 NDS 대북 재래식 억제 'primary responsibility(주된 책임)' 이양 논의 속 미군 자체 현대화 트랙,,2,https://www.stripes.com/branches/marine_corps/2026-08-06/marines-fpv-drones-debut-south-korea-22471128.html
2026-08-14,북한,북한군/한미일 당국,북한/한미일 정부,,북한 원산서 중거리급 추정 탄도미사일 발사(8/12 오전 6시경 KST)— 6일 새 2번째·2026년 11번째— 북 매체 이례적 침묵,700km 이상 비행·정점고도 약 90km(56마일)— 홋카이도 서쪽 일본 EEZ 밖 낙하; UFS(8/17-27) 발표 이틀 뒤— 8/6 SRBM(DB 8/7) 이후 훈련 전 도발 사이클 주 단위 가동; 8/13 현재 북 관영매체 두 발사 모두 미보도— 통상 공개 패턴 대비 이례적 공백— 개량 무기 시험 vs 한미일 탐지능력 평가 관측(디플로매트); 의회 강경파 제재 집행·NDAA 한국 조항 논거 보강,,2,https://www.koreajoongangdaily.com/korea/north-korea-fires-second-ballistic-missile-in-six-days-ahead-of-koreaus-drills/12821740
2026-08-14,안보,스콧 윈터(유엔사 부사령관),유엔군사령부,,윈터 유엔사 부사령관— UFS가 북한의 러시아 실전경험·기술·미사일 개발 반영해 설계(8/13 서울 브리핑)— 미사일 2발 '전략 메시지' 단정 경계,러시아 파병 최대 1만4천 명(우크라이나 정보당국 인용) 실전 교훈·기술 사용 증가 반영; 8/6·8/12 발사— 'conflate what might be routine testing into some form of strategic messaging(일상적 시험을 전략적 메시지로 혼동)' 경계·분석 중; 대대급 이상 FTX 17→14회— 횟수가 복잡성 지표 아님 부연(8군-한국군 도하작전 예시); 한국 경찰 8/10 연합훈련 정보 수집 혐의 중국군 출신 2명 체포— 작전보안 'timely reminders(시의적절한 상기)'; 북러 루프(DB 7/27·8/2·8/6·8/12)의 동맹 훈련 설계 환류 공식 확인— UFS 드론·사이버 반영(DB 8/11) 연장선,,2,https://www.stripes.com/theaters/asia_pacific/2026-08-13/ulchi-freedom-shield-exercise-korea-22537947.html
2026-08-15,산업,도널드 트럼프(대통령),미 행정부,,트럼프— '미 해군·조선산업기반 재건' 각서 서명(8/13 현지)— 외국 조선소 군함 최대 2척 건조 조건부 허용— 한화오션 거제 조선소 수혜 유력,각서 대상— 미국 내 조선소 신설·인수 외국 조선사(한화— 2024년 필리조선소 100% 인수로 요건 충족); 조건— 미국인 고용·훈련·모국 기술 라이선스 이전·3척째부터 미국 내 건조·미 공급망 사용; 함종 3종 한정— 수상전투함·군수지원유조함·로로선; 번스-톨레프슨법 국가안보 면제(핀란드 쇄빙선 모델 원용); 국방장관에 90일 내 조달계획·무역합의 자금(MASGA 1500억 달러 연계) 해양산업기반 투자 전환 계획 지시; 80여 년 만의 제5 해군 조선소 신설 지시; 하원 NDAA 해외 건조 금지·상원 비전투 지원함 한정과 충돌(DB 8/12 OMB SAP 후속)— 9월 조정회의·예산 심사가 관문; 한화오션 주가 8/15 5% 급등,PA 상원(McCormick 서사),3,https://en.sedaily.com/international/2026/08/14/trump-opens-door-for-hanwha-ocean-to-build-2-us-warships-in
2026-08-15,통상,미 행정부/김정관(산업장관),미 행정부/한국 정부,,미— 한국 2천억 달러 대미투자 프로젝트 발표 지연 시 15% 상호관세 유지 위험 경고(KED 8/14)— 7월 말부터 이메일 반복 압박,소식통— 워싱턴이 7월 말 이후 이메일로 투자 이행 압박; 김정관 산업장관 추가 방미 가능성 거론; 텍사스 198억 달러 가스발전 단지가 1호 투자 후보(7/28 보도); 트럼프 1월 25% 복원 위협·2월 루비오 'mood is not good(분위기 안 좋다)' 경고 연장선— 15% 관세율이 투자 이행의 상시 인질; 중간선거 전 발표 가능한 외국인투자 성과 필요 국면과 맞물림,,2,https://www.kedglobal.com/business-politics/newsView/ked202608140012
2026-08-15,북한,북한 외무성 대변인,북한 정부,,북 외무성 대변인 담화(8/13; KCNA 8/14)— UFS를 'a rehearsal for an aggressive war(침략전쟁 리허설)' 규정— '새로운 수준의 위협에 새로운 수준의 억제력' 대응 천명,이번 사이클 첫 공식 반응— 자국 8/6·8/12 발사 관영매체 침묵(DB 8/14) 속 발표; 올해 UFS가 지난 5년과 다르다(드론·전자전·사이버 반영)는 한미 설명을 대결 준비 자인으로 규정; 한미일 협력 'turning into a nuclear alliance(핵동맹화)' 비난; '책임 있고 결정적인 자위권 행사' 경고— 훈련 기간(8/17-27) 추가 도발 예고 신호— 주 단위 도발 사이클(DB 8/7·8/14) 연장; 의회 강경파 제재 집행·NDAA 한국 조항 논거 보강,,2,https://www.globalsecurity.org/wmd/library/news/dprk/2026/dprk-260814-kcna01.htm
2026-08-16,안보,미 해군/USS 조지워싱턴함·USS 에이브러햄링컨함,미 해군,,조지워싱턴함 태평양 이탈 중동행— 서태평양 미 항모 공백(AP 8/15)— UFS(8/17-27) 개시 직전,워싱턴함이 중동에서 링컨함 교대 예정; 링컨함— 대이란 작전 지원으로 5월 귀환 연장·240일 이상 무중단 해상— 승조원 정신건강·보급 문제로 민주당 의원들 조사·정보공개 요구; 항모 11척 중 통상 2~3척 전개— 시어도어루스벨트함 샌디에이고 출항 시 4척 동시 전개·워싱턴함 태평양 복귀 가능(공백 단기 관측); 클라크(허드슨)— 정비 적체(maintenance debt)로 향후 수년 항모 전개 축소 전망; 폴링(CSIS)— 행정부가 'the exact opposite(정반대)' 수행; 클라크— 중국이 'the U.S. is not the big dog in the western Pacific anymore(미국은 더 이상 서태평양의 최강자가 아니다)' 서사에 활용; 북 '새로운 수준의 억제력' 예고(DB 8/15)·UFS 개시와 겹쳐 확장억제 가시 자산 공백,,2,https://www.pbs.org/newshour/world/u-s-pulls-last-aircraft-carrier-in-asia-as-trump-focuses-on-iran-and-the-western-hemisphere
2026-08-16,산업,한화디펜스USA/오스탈(Austal),한화/호주 오스탈,AL(모빌),한화디펜스USA— 오스탈USA 인수 최대 12억 달러 예비 제안(8/10-11 공개)— 앨라배마 모빌 조선소 겨냥,예비적·비구속적 제안 10.5억~12억 달러— 대상은 오스탈USA 법인·모빌 조선소·미국 내 지원사업(현금·부채 제외 순자산 기준); 오스탈 이사회 4주 실사 기간 부여— 계약 검토 및 미 해군·해안경비대·국방부 접촉 허용; 동시 공시로 오스탈 7973만 달러 손실; 2024년 말 필리조선소 인수(약 1억 달러) 후속 북미 방산·조선 기반 확대; 트럼프 8/13 각서(DB 8/15)가 군함 건조 자격을 '미국 내 조선소 신설·인수 외국 조선사'로 한정— 인수 성사 시 한화 자격 기반이 필리조선소 1곳에서 확대— MASGA 1500억 달러 물리적 실행 경로 확장; 외국 자본의 미 군함 건조 조선소 인수로 CFIUS·NDAA 조항 심사 쟁점화 소지,PA 상원(McCormick 서사),2,https://news.usni.org/2026/08/10/hanwha-makes-1b-bid-to-acquire-austal-usa-shipbuilder-declares-79-73m-loss
2026-08-17,통상,이재명(대통령)·여한구(통상교섭본부장)·김정관(산업장관),한국 정부,,이재명— 여한구 통상교섭본부장 전격 경질(8/14 금 자정부; 8/16 보도)— 김정관 산업장관 8/16(일) 급거 방미— 관세·쿠팡·투자 미결 국면서 대미 협상 창구 교체,대통령실이 8/14 오후 산업통상자원부에 통보— 당일 자정부 해임; 사전 인지자 극소수— 대통령실 '인사 사항 확인 곤란'; 여 본부장은 지난해 한미 관세협상 USTR 카운터파트— 정부 관계자들 '극히 이례적' 평가; 정부 고위관계자 '한미 관세협상과 무관'— 개인 사유 가능성 시사; 미확인 지라시성 의혹 유포— 여 측 '사실과 명백히 다르다'·법적 대응 검토; 이 대통령 8/11 국무회의 '권한 남용·직무 태만·비위 엄정 문책' 발언과 연결 관측; 미결 현안— 301조 강제노동 12.5% 관세(DB 7/9)·쿠팡 분쟁·2천억 달러 투자 이행 압박(DB 8/15)·과잉생산 조사 결과 8월 말 발표 예정; 김정관 장관 8/16 워싱턴 출발(연합)— 추가 방미 관측(DB 8/15) 현실화; 관측— 중간선거 전 트럼프의 투자 압박 가중 국면서 신속 대응 곤란 우려,,3,https://www.koreajoongangdaily.com/korea/lees-sudden-dismissal-of-trade-minister-called-into-question-amid-ongoing-issues-with-us/12827017
2026-08-17,북한,이재명(대통령),한국 정부,,(back-fill) 이재명 광복절 경축사— 한반도 정전체제의 평화체제 전환 위한 남·북·미 또는 남·북·미·중 회담 공식 제안(8/15)— 북핵 진전 억제 병기,제81주년 광복절 경축사(세종문화회관)— '종전과 불안정한 정전체제를 평화체제로 전환하는 여정에 나설 것'·'서로를 위협하려는 모든 의도를 내려놓고 직접 당사자 간 대화를 시작하자'; 대화가 '북한 핵능력 고도화를 억제할 실효적 방안 마련'에도 기여 주장; 작년 3원칙(체제 존중·흡수통일 배제·적대행위 중단)에서 진전— 올해 남·북·미 3자 또는 남·북·미·중 4자 회담 형식 공식 제기; 1953년 정전협정 서명 주체가 유엔사(미국 주도)·북한·중국이라는 점에서 미국 동의가 전제— 미 의회 관여 회의론(DB 8/8·8/12)과 충돌 소지; 대일 메시지는 '역동적 셔틀외교로 신뢰 기반'— 다카이치 야스쿠니 공물 봉납에도 직접 비판 자제,,2,https://www.koreajoongangdaily.com/korea/lee-urges-korean-peninsula-peace-talks-involving-united-states-china-in-liberation-day-address/12826382
2026-08-17,안보,마코 루비오(국무장관),미 행정부,,(back-fill) 루비오 국무장관 광복절 축하 성명— 한국을 'indispensable partner(없어서는 안 될 동반자)' 규정— 경제안보·핵심광물·조선 협력 심화 적시(8/15),국무부 대변인실 명의 언론성명— 'The United States remains proud to stand with the ROK; an indispensable partner; as we continue working together to expand prosperity(미국은 번영 확대를 위해 함께 일하는 없어서는 안 될 동반자 한국과 함께 서 있음을 자랑스럽게 여긴다)'; '70여 년간 공유 가치·상호 신뢰·상호 안보와 번영에 대한 확고한 공약에 뿌리를 둔 동맹'; 지난 가을 트럼프 대통령 국빈 방한을 토대로 경제안보·핵심광물·조선(shipbuilding) 협력 심화 명시— MASGA·트럼프 8/13 각서(DB 8/15) 기조와 일치; UFS 개시(8/17)·이재명 평화체제 제안(같은 날)과 같은 날 발신— 행정부 공식 메시지는 통상·산업 협력에 초점·대북 대화 언급 없음,,2,https://www.state.gov/releases/office-of-the-spokesperson/2026/08/republic-of-korea-national-day-2
2026-08-17,북한,북한군/한국 합동참모본부,북한/한국군,,북한군 다수 병력 동부전선 군사분계선(MDL) 월선— 한국군 경고사격(지난주 발생; 8/16 정부 소식통 확인)— 2026년 첫 경고사격,정부 소식통 8/16— 지난주 동부전선에서 북한군 다수 병력이 MDL 월선— 작전 예규에 따라 경고방송 후 경고사격— 북한군 원위치 복귀·추가 특이동향 없음; 올해 북한군 MDL 위반 보고는 이번이 처음— 한국군 경고사격도 2026년 첫 사례; 작전 중 우발적 월선 추정(순찰 중); 2023년 말 김정은 '적대적 두 국가' 선언 이후 북한의 MDL 일대 요새화 작업 과정에서 단기 월선 빈발— 2025년 17회; UFS(8/17-27) 개시 직전·북 외무성 '새로운 수준의 억제력' 예고(DB 8/15) 국면— 훈련 기간 우발적 충돌 위험 지표,,2,https://www.koreajoongangdaily.com/korea/north-korean-troops-cross-border-trigger-warning-shots/12826516
2026-08-17,북한,김정은(국무위원장)·블라디미르 푸틴(러시아 대통령),북한/러시아,,김정은-푸틴 광복절 축전 교환(8/15~16; KCNA·노동신문)— 김정은 '더욱 훌륭한 미래' 언급— 북러 전략적 동반자관계 심화 재확인,푸틴이 일본 항복 81주년(8/15) 축전 발송— 김정은 답전에서 소련 붉은군대의 조선 해방 기여 언급·대러 관계에 대한 자부심 표명·양국 관계의 '더욱 훌륭한 미래(more excellent future)' 기대; 노동신문 게재(8/16); 자국 8/6·8/12 미사일 발사에는 관영매체 침묵 유지(DB 8/14) 중 대러 메시지는 정상 발신— 대미 침묵/대러 과시의 비대칭; 파병 3만~5만 준비(DB 8/12)·미사일부대 보로네시 배치(DB 8/6) 국면의 정치적 상부구조— 의회 강경파 제재 집행·NDAA 한국 조항 논거 보강; 이재명 4자회담 제안(같은 주말)과 대비되는 북측 우선순위 시사,,1,https://www.koreajoongangdaily.com/korea/norths-kim-anticipates-more-excellent-future-with-russia-in-message-to-putin/12826526
